web-scraper-order|web-scraper-start-url|all_titles|bed|bath|location|size|streeteasylink|streeteasylink-href|price|amenities|available|listed_date|description|build_amenities|nearby_transportation|nearby_transportation_2
1558757788-1809|https://streeteasy.com/for-rent/downtown?page=60&sort_by=sqft_desc|342 East 15th Street #6N|1 bed|1 bath|Rental Unit in Gramercy Park|900 ft²|342 East 15th Street #6N|https://streeteasy.com/building/342-east-15-street-manhattan/6n|$3,500                for rent|null|Available Now|2 Days|AMAZING LOCATION  & FULL OF NATURAL LIGHTLocated on TOP FLOOR  of WALK-UP building, this fully renovated, spacious 2 Bedroom apartment boasts sunlight filled living room, windowed bathroom and brand new appliances. CHECK THE VIDEO BELOW:https://photos.app.goo.gl/pRKv7vmi8fUyGor56Both bedrooms are LARGE. One bedroom comfortably accommodates KING SIZE bed,The other accommodates QUEEN SIZE bed!Just a block away from L train Station (1st Ave Station), super convenient location for everything East Village/Gramercy has to offer- bars, restaurants, clubs, local shops and so much more. TEXT HIROSHI FOR THE QUICKEST RESPONSE!|Guarantors Accepted|L                   at 1st Av            under 500 feet|L                   at 3rd Av            0.2 miles
1558758168-1955|https://streeteasy.com/for-rent/downtown?page=53&sort_by=sqft_desc|47 Delancey Street #205|3 beds|1 bath|Rental Unit in Lower East Side|1,000 ft²|47 Delancey Street #205|https://streeteasy.com/building/47-delancey-street-new_york/205|$3,495                for rent|null|6/1/2019|6 Days|"Prime Nolita / Lower East Side Very Huge three bedroom with a large livingroom and an eating kitchen. The apartment facing west with fernch windows , newly renovated kitchen and newly renovated bathroom, hardwood floors, exposed brick wall , located on a Third floor of this nice clean building. This one is a great apartment and I just got the keys for it. call me on my cell to see this great space. I specialize in the downtown area: SoHo | NoLita | TriBeCa | West Village | Greenwich Village | NoHo | East Village | Union Square | Lower East Side | Gramercy | Financial District | Seaport Area | Battery Park | Flatiron | Chelsea I am a specialist of these neighbourhoods since 1989"|Guarantors Accepted|J          Z                   at Bowery            0.12 miles|B          D                   at Grand St            0.13 miles
1558758123-1936|https://streeteasy.com/for-rent/downtown?page=54&sort_by=sqft_desc|66 Avenue A #2J|1 bed|1 bath|Rental Unit in East Village|1,000 ft²|66 Avenue A #2J|https://streeteasy.com/building/187-east-4-street-new_york/2j|$3,950                for rent|Cats Only - No Dogs                                                                                                                                                  Elevator|Available Now|Listed Today|Very Rare Gorgeous Huge 1 bedroom in a pre-war elevator building with laundry and a beautiful shared garden. This spacious unit offers great details, such as an entrance foyer that could be used in various ways, an eat-in kitchen with a dishwasher, plenty of closets throughout and windows in every room. The pre-war details include arched entrance ways, crown moldings, high ceilings and beautiful floors. There is a live-in super, communal garden and a package pick up space for your added convenience. Sorry no dogs allowed.TheCrestGroupNYC.com|Laundry in Building                                              Live-in Super|F                   at 2nd Av            0.27 miles|F          J          M          Z                   at Delancey St-Essex St            0.44 miles
1558757837-1825|https://streeteasy.com/for-rent/downtown?page=59&sort_by=sqft_desc|130 W 15th Street #3C|1 bed|1 bath|Condo in Chelsea|900 ft²|130 W 15th Street #3C|https://streeteasy.com/building/the-sierra/3c|$5,690                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|20 Days|1BR + HUGE PRIVATE OUTDOOR SPACE + Washer/Dryer in Unit!Rarely available one bedroom at the Sierra, a full service building located in dynamic Chelsea on a quiet tree-lined block.  This spacious one bedroom apartment has a separate pass-through kitchen, dining area, and a picturesque 23ft x 8.5ft private outdoor terrace! Tons of closet space throughout and an in-unit washer dryer make this a convenient and comfortable home.  The Sierra is a full-service Related building with exceptional staff who provide top notch service for residents who benefit from Concierge services and a 24 hour Doorman, convenient online Building Link system for rent, maintenance requests, and access.  The roof deck is beautifully landscaped and maintained, with grills available during the warmer months.  An on -site gym is available for a small fee.Located in the charming neighborhood of Chelsea, an easily accessible area known for the Highline, art galleries, interior design and furniture stores, fashion and beauty,  local and major department stores, and Union Square Park.  Nearby are Trader Joe’s, Whole Foods, Bed Bath & Beyond, Best Buy, H&M, Zara, the Union Square Farmer’s market 4 days a week, The Chelsea Market, Westville, and more! Nearby is NYU, The New School and Parson's School of Design.  The train lines nearby include the 1, 2, 3, A, C, E, L, B, D, F, M, N, R, 4, 5, 6.|Bike Room                                              Concierge                                              Gym                                              Live-in Super                                              Media Room                                              Smoke-free|F          M          L          1          2          3                   at 14th St            under 500 feet|PATH                   at 14th Street Station            under 500 feet
1558757829-1823|https://streeteasy.com/for-rent/downtown?page=59&sort_by=sqft_desc|202 Mott Street #23|3 beds|1 bath|Rental Unit in Nolita|900 ft²|202 Mott Street #23|https://streeteasy.com/building/26-spring-street-manhattan/23|$3,895                for rent|null|7/1/2019|18 Days|A True definition of comfort and convenience. This Corner 3 bedroom / 1 bath unit is located in one of the most thriving block of Soho/Noho. With the North / South and Western exposures. This apartment gets tons of sunlight all through the day . It's on the 4th floor of a 6 story walk -up building . So you are away from the hike and the mice altogether.Apartment features : 3 bedrooms : each has a closet, can fit in a queen size bed comfortably .large windows in every room , one of the room has three windows .1 bathroom : it's marbled, updated , hot-tub ,medicine cabinets, extra storage and has a windowKitchen: updated open concept kitchen with a break isle , ton of cabinet space, stainless steel appliances,beautiful back-splash, granite counter top and has a windowOther features include: Extra storage space within the apartment Long foyer featuringLight Oak Hardwood Floors*Recessed Lights Neighborhood has a lot to offer . From easy commute to best of restaurants and stores. It's the best deal in Noho /Soho .Living here will be a great experience and you will be close to everything best of what living in the city has to offer .|Guarantors Accepted|6                   at Spring St            0.13 miles|J          Z                   at Bowery            0.14 miles
1558668397-211|https://streeteasy.com/for-rent/downtown?page=18&sort_by=sqft_desc|313 East 14th Street #1B|null|1 bath|Rental Unit in Gramercy Park|2,000 ft²|313 East 14th Street #1B|https://streeteasy.com/building/313-east-14-street-new_york/1b|$4,995                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/1/2019|21 Days|DUPLEX * W/D * BACKYARD * HIGH-CEILINGLarge Three Bedrooms Duplex Large Living Room * Exposed Brick wall * Marble Bathroom * New Kitchen with High Gloss white cabinets and Stainless steel appliances * 800 SF INTERIOR + 1,200 SF OUTDOOR SPACE.Steps to Union Square, Shopping and Many Neighborhood attractions.Subway: N , R , Q , W , 4 , 5 , 6 & L Pet-Friendly** Out of state Guarantor OK|Dishwasher|L                   at 1st Av            0.12 miles|L                   at 3rd Av            0.14 miles
1558668934-343|https://streeteasy.com/for-rent/downtown?page=28&sort_by=sqft_desc|73 Eighth Avenue #3|null|1 bath|Rental Unit in West Village|1,520 ft²|73 Eighth Avenue #3|https://streeteasy.com/building/73-8-avenue-manhattan/3|$6,999                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|4 Days|Luxurious biggest apartment/FLEX-3 in the unparalleled location, you deserve to live like that!Oversized kitchen, amazing marble bathroom, W/D in unit, brand new renovation, lots of light and space. Beautiful window view overlooking Jackson Square. Everything in Manhattan happens right here.If you are in New York and have only one life this is the apartment to live in!WALLS ALLOWED!Call Alexander to view. Also speak Russian, French, Spanish, Chinese.||A          C          E          L                   at 14th St-8th Av            0.12 miles|1                   at 18th St            0.3 miles
1558668886-326|https://streeteasy.com/for-rent/downtown?page=29&sort_by=sqft_desc|113 East 29th Street #PARLOR|null|1 bath|Rental Unit in NoMad|1,500 ft²|113 East 29th Street #PARLOR|https://streeteasy.com/building/113-east-29-street-manhattan/parlor|$5,500                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|21 Days|RARE AND AMAZING MASSIVE SUN FILLED PARLOR FLOOR IN TOWNHOUSE!!!NEWLY RENOVATED, BRAND NEW KITCHEN and BATHROOM, Restoration of Original Classic Finishes. 14 FT Ceils apx 1500 Sq Ft. Hardwood Floors throughout, 1 Deco Fire Place. Chandelier and Ceiling fan. PVT DECK. Second room perfect for HOME OFFICE, BABY ROOM OF MASSIVE STORAGE LOFT.Subways:6 at 28th 6 at 33rd 6 at 23rdN,R at 28th N,R at 23rd|Storage Available|6                   at 28th St            under 500 feet|6                   at 33rd St            0.19 miles
1558668926-341|https://streeteasy.com/for-rent/downtown?page=28&sort_by=sqft_desc|71 8th Avenue #3F|null|1 bath|Rental Unit in West Village|1,512 ft²|71 8th Avenue #3F|https://streeteasy.com/building/71-8-avenue-manhattan/3f|$7,000                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|36 Days|Here is an apartment you dont get to see every day…Brand new renovations, 1512 SF Live&Work Open loft overlooking Jackson Square.W&D in Unit, over sized kitchen and bath.Located on 8th ave and 13th St. Cant ask for more than that…|Dishwasher|A          C          E          L                   at 14th St-8th Av            0.12 miles|1                   at 18th St            0.3 miles
1558669187-417|https://streeteasy.com/for-rent/downtown?page=24&sort_by=sqft_desc|215 West 20th Street #W2|2 beds|1 bath|Rental Unit in Chelsea|1,700 ft²|215 West 20th Street #W2|https://streeteasy.com/building/215-west-20-street-manhattan/w2|$7,795                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|5 Days|A truly stunning loft appx 1,700 SQF features 2 bedrooms 2 baths with washer/dryer in a beautiful keyed elevator building. The Loft boasting a fabulous huge living room and dining area appx 750 sqf, high ceilings, south facing Two huge windows which provide an abundance of natural light. Fully equipped kitchen with new stainless steel appliances.Very large master bedroom that can fit a king size bed with excellent storage space and a lovely en-suite bathroom. Second bedroom has a huge closet and can fit a king size bed as well.Very well maintained and well-kept Pre-war Loft keyed elevator building located at the heart of Chelsea just minutes from shops, supermarkets, restaurants and bars. Steps from 1, C, E, F and M trains. Pets are allowed.||1                   at 18th St            0.12 miles|1                   at 23rd St            0.14 miles
1558668872-321|https://streeteasy.com/for-rent/downtown?page=29&sort_by=sqft_desc|247 West Broadway #4|null|1 bath|Rental Unit in Tribeca|1,500 ft²|247 West Broadway #4|https://streeteasy.com/building/247-west-broadway-manhattan/4|$6,800                for rent|Washer/Dryer In-Unit|Available Now|7 Days|A rare opportunity to live in a quintessential, full floor, NYC loft with over 1,500 Sq. Ft. of space. This loft boasts large windows facing East and West, with a large skylight over the kitchen area which floods the space with light. Exposed brick walls, high ceilings, bamboo floors, brand new washer/Dryer, updated kitchen with new counter tops and new stainless steal appliances are waiting for you to create amazing meals and entertain your friends. The designer overhead lighting, ceiling fan and a huge walk in closet add to the charm of this unique space. The owners are upgrading the Bathroom, with new lighting, bathroom fixtures, re-grouting and overall improvements to the shower. Tenants pay their own heat and hot water. The 1,6,A,C,E,N,Q,R & W trains are all just steps away from your front door. A 5 minute walk to SoHo, China Town or little Italy provides you with many restaurant and entertainment options for you to enjoy. Tribeca Park is just steps away, making this block one of Tribeca's most charming historic areas. This loft is located on the top floor of a walk up building (3 flights of stairs). No Pets (certified service animals allowed).||A          C          E                   at Canal St            under 500 feet|1                   at Franklin St            under 500 feet
1558668880-324|https://streeteasy.com/for-rent/downtown?page=29&sort_by=sqft_desc|84 East 4th Street #4|null|1 bath|Rental Unit in East Village|1,500 ft²|84 East 4th Street #4|https://streeteasy.com/building/67-2-avenue-manhattan/4|$7,200                for rent|null|7/1/2019|16 Days|JULY 1ST MOVE-IN!Spacious 4 bedroom apartment with Skylight high ceilings is perfectly situated in the heart of the East Village. As you enter the residence you walk into the spacious living/dining room area great for entertainment!Apartment features: windows throughout allowing for lots of natural sunlight, hardwood floors, and ample closet space. Good sized windowed bedrooms, can fit queen sized beds. In a well maintained boutique walk up building right off of E 4th street with only one apartment on each floor!The location is perfect, and a great apartment for roommates. Please email or call to schedule a viewing.|Dishwasher|F                   at 2nd Av            0.24 miles|6                   at Bleecker St            0.26 miles
1558669334-462|https://streeteasy.com/for-rent/downtown?page=21&sort_by=sqft_desc|96 Greene Street #5|null|1 bath|Rental Unit in Soho|1,800 ft²|96 Greene Street #5|https://streeteasy.com/building/96-greene-street-new_york/5|$6,250                for rent|Elevator                                                                                                                                                  Washer/Dryer In-Unit|Available Now|43 Days|1 bed, 1 baths, 1,800 sq ft WALK UP Blank CANVAS Original artist's loft, located in the heart of the most desirable cobblestone streets of Soho on Greene Street between Prince and Spring Streets with 11 foot ceilings and original skylight. Open kitchen with counter. Original painted hard wood floors. Natural light from over-sized windows with western exposure and east exposure looking over Greene street. Enjoy the peace and quiet of being on one of the rare blocks in SoHo with no bars or restaurants. Nestled above world-renowned boutiques; Stella McCartney, Louis Vuitton, Tiffany and Jimmy Choo. This is a 5th floor walk up, Please note NO ELEVATOR.|null|N          R          W                   at Prince St            0.12 miles|6                   at Spring St            0.18 miles
1558669944-648|https://streeteasy.com/for-rent/downtown?page=32&sort_by=sqft_desc|71 Second Avenue #2|null|1 bath|Rental Unit in East Village|1,420 ft²|71 Second Avenue #2|https://streeteasy.com/building/71-2-avenue-new_york/2|$6,800                for rent|Pets Allowed|7/1/2019|Listed Today|AVAILABLE JULY 1.Possibly one of the largest 3-bedroom apartments in the East Village. This enormous floor-thru loft (1,420 SF) has east and west exposures, 3 spacious bedrooms, a large, bright living area and located at the crossroads of East Village, LES and NoHo.Recently renovated, this apartment features pristine hardwood floors, high ceilings, exposed brick, marble bath and eat-in kitchen with dishwasher. Just one flight up and laundry across the street.Very well maintained building with private landlord and dedicated super. Quick application processing. As this apartment is currently occupied, we request the courtesy of 24-hours notice to schedule showings.|Dishwasher|F                   at 2nd Av            0.26 miles|6                   at Astor Place            0.26 miles
1558669735-569|https://streeteasy.com/for-rent/downtown?page=36&sort_by=sqft_desc|66 Avenue A #2F|2 beds|1 bath|Rental Unit in East Village|1,300 ft²|66 Avenue A #2F|https://streeteasy.com/building/187-east-4-street-new_york/2f|$5,495                for rent|Cats Only - No Dogs                                                                                                                                                  Elevator|7/1/2019|7 Days|An amazing spacious 2 bedroom apartment that is truly an East Village gem. This charming New York classic apartment is approximately 1,300 sf with two massive bedrooms. You will never have trouble storing anything again due to the 3 walk-in and 2 oversized closets in the unit. Those days of eating in your living room are also over, This unique space offers a large dining room that is perfect for entertaining. Sun filled throughout thanks to every room having a window including the bathroom and the eat-in kitchen. In addition to having an eat-in kitchen, you will be the first to use the brand new stainless steel appliances. Located close to Caracas, Luke's Lobster and Miss Lilly's to name a few of the many great restaurants in the area. You are a block away from Blink Fitness and New York Sports Club. The building features a live in super, laundry on site, a beautiful shared garden and elevators for your convenience. An apartment of this caliber comes on the market once in a blue moon, So come move in and enjoy true downtown living like it should be! Cats allowed but Sorry no dogs allowedTheCrestGroupNYC.com|Laundry in Building|F                   at 2nd Av            0.27 miles|F          J          M          Z                   at Delancey St-Essex St            0.44 miles
1558669917-639|https://streeteasy.com/for-rent/downtown?page=32&sort_by=sqft_desc|36 Greene Street #3|null|1 bath|Rental Unit in Soho|1,400 ft²|36 Greene Street #3|https://streeteasy.com/building/89-grand-street-manhattan/3|$8,500                for rent|Elevator                                                                                                                                                  Washer/Dryer In-Unit|Available Now|73 Days|This meticulous, pristine and rarely available 1400 SF corner loft in Soho's 5 story landmark building has soaring ceilings, tropical wood floors throughout and is bathed in natural light streaming in from nine oversized windows. This loft has it all: c/a/c, cast iron baseboard heat, 22' of european closets, washer/dryer, slate kitchen countertops and TuscanTerra Cotta tiles and glass bathroom, window shades. The loft has direct elevator access. Gas and heat included. Absolutely not to be missed!|Loft|J          N          Q          R          Z          6          W                   at Canal St            0.14 miles|A          C          E                   at Canal St            0.17 miles
1558669836-605|https://streeteasy.com/for-rent/downtown?page=34&sort_by=sqft_desc|53 Grand #2|null|1 bath|Rental Unit in Soho|1,350 ft²|53 Grand #2|https://streeteasy.com/building/53-grand-street-new_york/2|$6,700                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/30/2019|Listed Today|DROP DEAD GORGEOUSAmazing Location on Grand and West Broadway2nd floor CORNER Full floor loft with HUGE windows wrapping around the entire space blasting tons of natural light1350 square feet of soaring spaceDouble paned windows for effective soundproofing and thermal insulationSKY HIGH CeilingsGorgeous Brazilian plank flooringOne corner Bedroom with double exposures, windowed wall to let even more light throughout the loftGigantic ClosetsSeductively alluring bathroom with exquisite stone tiling and luxurious detailsDeep soaking tubState of the art open kitchen with stainless steel appliances, beautiful cherry wood cabinetry, granite countertops, garbage disposal and even a lit china cabinetry facing the living roomWasher and Dryer in the unitTotally RARE opportunity for such a gemStraight rental, no board approvalOne or two year lease and stay for as long as you like afterPay the same rent on a two year leasePets are welcomeAvailable as early as July 1st, possibly later as well, pls inquire.* If using a guarantor, they must live or have assets in NY state.||1                   at Canal St            0.12 miles|A          C          E                   at Canal St            0.13 miles
1558671884-832|https://streeteasy.com/for-rent/downtown?page=41&sort_by=sqft_desc|53 Howard Street #2D|null|1 bath|Rental Unit in Soho|1,200 ft²|53 Howard Street #2D|https://streeteasy.com/building/the-constable/2d|↓              $6,500                for rent|Elevator                                                                                                                                                  Washer/Dryer In-Unit|6/1/2019|10 Days|Spectacular 1 bed/1 bath corner unit available. Tons of light. Rarely available. Over 1200 square feet. Originally built in 1857 as a luxurious department store for Arnold, Constable & Company, the building was landmarked as part of the Soho Cast Iron District in 1978. When it opened, the store, then known as the Marble House, offered silk, imported hand-made lace, bridal veils and other accoutrements for the lady about town, and was patronized by the leading families of the city. Now 150 years later, The Constable has been meticulously restored revealing original cast-iron columns, exposed brick and soaring ceilings with hewn beams. Enhancing this preservation of historic detail, The Constable's newly renovated lofts also feature wide plank oak floors, open kitchens, a fully-vented washer & dryer in each residence, and double-glazed, arched windows.||J          N          Q          R          Z          6          W                   at Canal St            under 500 feet|A          C          E                   at Canal St            0.17 miles
1558671873-829|https://streeteasy.com/for-rent/downtown?page=41&sort_by=sqft_desc|36 Bedford Street #PH|3 beds|1 bath|Rental Unit in West Village|1,200 ft²|36 Bedford Street #PH|https://streeteasy.com/building/36-bedford-street-new_york/ph|$7,500                for rent|Pets Allowed|6/1/2019|5 Days|"The location is Prime West Village, and the apartment is a penthouse with a private deck. The apartment features three bedrooms, a separate living room, hardwood floors, high ceilings, a decorative fireplace in the living room, a tiled bathroom and a great kitchen with stainless steel appliances. The apartment is floor through with great light. This the best priced three bedrooms apartment you will find in the village. I have many other great listings. Call me on my cell for a private viewing. I specialize in the downtown area: SoHo | NoLita | TriBeCa | West Village | Greenwich Village | NoHo | East Village | Union Square | Lower East Side | Gramercy | Flatiron | Chelsea since 1989."|Dishwasher|1                   at Houston St            0.13 miles|1                   at Christopher St            0.23 miles
1558671900-836|https://streeteasy.com/for-rent/downtown?page=41&sort_by=sqft_desc|80 East 2nd Street #6|null|1 bath|Rental Unit in East Village|1,200 ft²|80 East 2nd Street #6|https://streeteasy.com/building/80-east-2-street-manhattan/6|$5,995                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|7/1/2019|19 Days|This unique floor through apartment is one of a kind. Open massive living room with original Pre War details, Decorative Fire Place. Walls of windows throughout facing North and South with amazing natural light and open green views. Customized closet and storage space. Renovated kitchen with cherry wood cabinets and Stainless Steel Dishwasher. King size bedrooms with massive closet and storage space. Washer & Dryer. Beautiful bathroom with double sink. Enjoy your own private floor in this charming brownstone while being extremely close to all that the area has to offer: Fine dining, shopping, art, , proximity to Lower East side, Soho, Noho, Gramercy, Union Square and so much more…Open house by appointment please register.|Laundry in Building                                              Storage Available|F                   at 2nd Av            under 500 feet|6                   at Bleecker St            0.33 miles
1558671784-797|https://streeteasy.com/for-rent/downtown?page=43&sort_by=sqft_desc|9 East 13th Street #2J|null|1 bath|Co-op in Greenwich Village|1,160 ft²|9 East 13th Street #2J|https://streeteasy.com/building/9-east-13th-street-new_york/2j|$7,000                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator|7/1/2019|38 Days|Once in a Lifetime – available for rent, this Authentic loft space located just off of 5th Avenue and around the corner from Union Square, multiple subway stations, Whole Foods, farmer's market, movie theatres and more. Oversized and inviting with 10 foot windows which bring Eastern and some Western light to the main living space which has 14' high ceilings. A mezzanine level guest bedroom with 6' plus clearance overlooks the stunning space. The large master bedroom is tranquil and has a wall of closets. The newly renovated open kitchen has a Subzero refrigerator, Miele dishwasher and washer dryer. An intimate outdoor patio completes the appeal of this rare loft space. Available for July 1 move in with board approval.|Parents Buying Allowed                                      Pied-a-Terre Allowed|L          N          Q          R          4          5          6          W                   at 14th St-Union Square            0.2 miles|F          M          L          1          2          3                   at 6th Av            0.23 miles
1558671625-739|https://streeteasy.com/for-rent/downtown?page=46&sort_by=sqft_desc|300 East 6th Street #1|3 beds|1 bath|Rental Unit in East Village|1,100 ft²|300 East 6th Street #1|https://streeteasy.com/building/102-2-avenue-new_york/1|$6,000                for rent|Washer/Dryer In-Unit|7/1/2019|15 Days|7/1 Occupancy, 2nd floor unit. No Students, 24 hours notice, min,required for showing requests – tenants in place till 6/30. Renovated floor thru apartment, 2 flights (2nd floor) up offering nice light and city Views. 3 bedroom and 1 bath, with washer/dryer, located in the heart of the East Village. Owner occupied walk up building offers good sized bedrooms, open renovated kitchen with dishwasher and ample space for living/dinning set up. The building is located a short walk from all amenities needed and subway 6, F. Owner lives in the building so care needs to be taken by any tenants as to following the building rules. NO ROOF ACCESS. NO DOGS.|Dishwasher|6                   at Astor Place            0.24 miles|F                   at 2nd Av            0.31 miles
1558671585-727|https://streeteasy.com/for-rent/downtown?page=47&sort_by=sqft_desc|527 Grand Street #1|null|1 bath|Rental Unit in Lower East Side|1,100 ft²|527 Grand Street #1|https://streeteasy.com/building/527-grand-street-manhattan/1|$4,900                for rent|null|Available Now|Listed Today|True 4-bedroom apartment with great light (see floor plan)All bedrooms accommodate Queen-sized bed, furniture, and have windowsLarge living roomNorth, South, and East exposures1 flight walk up|null|F          J          M          Z                   at Delancey St-Essex St            0.4 miles|F                   at East Broadway            0.43 miles
1558671854-819|https://streeteasy.com/for-rent/downtown?page=42&sort_by=sqft_desc|278 West 19th Street #5|null|1 bath|Rental Unit in Chelsea|1,200 ft²|278 West 19th Street #5|https://streeteasy.com/building/278-west-19-street-manhattan/5|$4,900                for rent|null|6/5/2019|Listed Today|True 4BR find! This gem also features: Beautiful hardwood floors and high ceilings throughout, eat-in-kitchen, ceramic tile bathroom, Exposed brick decorative fireplace in the living room, Closets in all 4 real bedrooms.This apartment is just a few blocks to the magnificent Hudson River Park, Meatpacking District, High Line, Art Gallery District, A, C, E and 1 Subways and more! Schedule an appointment to view any day.|null|A          C          E          L                   at 14th St-8th Av            0.15 miles|1                   at 18th St            0.16 miles
1558671439-667|https://streeteasy.com/for-rent/downtown?page=50&sort_by=sqft_desc|15 Broad Street #2102|null|1 bath|Condo in Financial District|1,050 ft²|15 Broad Street #2102|https://streeteasy.com/building/downtown-by-philippe-starck/2102|$4,200                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|24 Days|AMAZING LOFT space in the sunniest line facing north with unobstructed city views of the Financial District's most iconic vistas! This home offers two spacious home offices that can easily be used as bedrooms. It has a separate eat-in-kitchen with Thassos marble countertops, Starck kitchen fixtures, and Bosch stainless-steel appliances. The bathroom is spacious with a deep Duravit soaking tub and Hansgrohe bathroom fixtures. The loft features recently finished solid wood floors, over-sized windows and 11ft ceilings, making this a bright and happy experience. For added convenience there is Bosch washer and dryer in the home. This roomy home offers plenty of storage space including a large walk-in-closet. Come enjoy this historic (former headquarters of JP Morgan), full-service condo building (with an excellent staff!!!). The building is also coveted for its great amenities; Concierge; full-service Gym; Pool; Laundry Room; Tenant’s Lounge, Rooftop Deck; Cinema Room; Children's Playroom. Best exposure of the building on a high floor!|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Live-in Super                                              Media Room                                              Package Room                                              Swimming Pool|J          Z                   at Broad St            under 500 feet|2          3                   at Wall St            under 500 feet
1558671610-731|https://streeteasy.com/for-rent/downtown?page=47&sort_by=sqft_desc|29 Fifth Avenue #6|null|1 bath|Rental Unit in Greenwich Village|1,100 ft²|29 Fifth Avenue #6|https://streeteasy.com/building/29-5-avenue-new_york/6|$5,850                for rent|Elevator|6/1/2019|11 Days|FOR SHOWINGS DURING THE OPEN HOUSE PLEASE EMAIL ME TO SET UP A TIME.The apartment was renovated one year ago, and features a gigantic living room with a fireplace and three exposures. can flex to three.two queen size bedrooms with wall to wall California closetswindowed tiled bath with full size bathtubwindowed kitchen with full size appliances including dishwasher.a dream apartment in the gold coast, central to all.showing by appointment onlyprincipals onlyavailable June 1|Live-in Super|PATH                   at 9th Street Station            0.2 miles|N          R          W                   at 8th St            0.22 miles
1558671857-820|https://streeteasy.com/for-rent/downtown?page=42&sort_by=sqft_desc|318 West 14th Street #4|null|1 bath|Co-op in West Village|1,200 ft²|318 West 14th Street #4|https://streeteasy.com/building/318-west-14-street-manhattan/4|$6,000                for rent|Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|7/15/2019|3 Days|Rare opportunity to live in a beautiful townhouse right on the cusp of Greenwich Village, Meat Packing, and Chelsea! This sun-drenched 1200 SQ. Ft. Floor-thru features a sprawling living room, King and Queen-size bedrooms and a home office or 3rd bedroom. Enjoy Pre-war charm including 9' ceilings, decorative fireplace, gorgeous hardwood floors, open renovated kitchen, renovated bathroom, and washer/dryer. Steps to all the best that this fabulous neighborhood has to offer from the nightlife and great restaurants in Meat Packing to the art galleries and shopping in Chelsea. Available July 15th-July 20th. Fast 1-2 day approval. NO BOARD APPROVAL||A          C          E          L                   at 14th St-8th Av            0.12 miles|1                   at 18th St            0.32 miles
1558671453-679|https://streeteasy.com/for-rent/downtown?page=49&sort_by=sqft_desc|252 Seventh Avenue #11Y|1 bed|1 bath|Condo in Chelsea|1,055 ft²|252 Seventh Avenue #11Y|https://streeteasy.com/building/chelsea-mercantile/11y|$6,500                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|51 Days|One of the most sought-after addresses, the Chelsea Mercantile boasts the best of pre-war luxury living in the Flatiron/Chelsea area. This remarkable one bedroom home delivers a warm sundrenched haven above the bustle of the thriving neighborhood.This spacious one bedroom loft with 1055 Square feet of living space. This unit is one of the largest one bedrooms within the building. This unit offers a spacious living room with over-sized windows and ceilings of 11-feet. The open kitchen which boosts an 8-foot island, emphasizes the lofts width and can easily accommodate seating for four to five people. An entertainers dream! The spacious master bedroom serves as the perfect place to rest your head with two large closets and two over-sized windows, granting substantial natural light. Located on the second highest floor of the building, unit 11Y is quiet and enjoys the benefit of light that is evenly distributed through all rooms. There is also a washer/dryer located within the apartment.Enjoy splendid amenities such as a full-time doorman, concierge, valet service that will provide maid service and dry cleaning, fitness center, children's playroom, and a 10,000 square foot landscaped roof deck with majestic views of downtown. This incredible home is advantageously positioned above Whole Foods on 7th Ave, connected to a public parking garage that is accessible from the lobby, surrounded by tons of public transportation and restaurants, and is just a 10 min stroll to the West Chelsea Galleries and Chelsea Piers.|Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Garage Parking                                              Gym                                              Live-in Super                                              Parking Available                                              Storage Available|1                   at 23rd St            under 500 feet|1                   at 28th St            0.13 miles
